Time,RawValue,Label
23.676,304.68161242737403,relax
23.677,304.9272610181199,relax
23.678,307.88957850503317,relax
23.679,311.68601944906294,relax
23.68,310.66293959665575,relax
23.681,308.7068261042731,relax
23.682,310.9618092558419,relax
23.683,311.5703544328037,relax
23.684,307.5190585797914,relax
23.685,308.3586511857511,relax
23.686,307.07309377733105,relax
23.687,300.84441001415064,relax
23.688,302.1532675776683,relax
23.689,300.4686524339072,relax
23.69,301.28168743352836,relax
23.691,305.02531626553764,relax
23.692,302.8817845758274,relax
23.693,307.2185095926587,relax
23.694,308.85274452967445,relax
23.695,313.9078971828434,relax
23.696,311.0725929931221,relax
23.697,312.7299951985184,relax
23.698,308.92815754050537,relax
23.699,307.3840006666587,relax
23.7,306.39077261636675,relax
23.701,305.5158009795225,relax
23.702,305.3843931317187,relax
23.703,303.06196174685965,relax
23.704,299.5791299804996,relax
23.705,300.0938669660867,relax
23.706,305.226990953655,relax
23.707,305.7372982216419,relax
23.708,305.31002880240226,relax
23.709,309.4603772592415,relax
23.71,309.77090944723625,relax
23.711,307.8011237742615,relax
23.712,308.9662571979139,relax
23.713,310.3403357719485,relax
23.714,310.2514019648728,relax
23.715,307.5428704721997,relax
23.716,308.2180817501544,relax
23.717,304.23703481403703,relax
23.718,306.13352821276163,relax
23.719,305.5246680044456,relax
23.72,300.69332065178025,relax
23.721,302.49870185065566,relax
23.722,302.8425514830076,relax
23.723,300.2442457827076,relax
23.724,307.9647045072316,relax
23.725,306.690349927197,relax
23.726,311.07173754934615,relax
23.727,310.3529002134593,relax
23.728,310.75460380420344,relax
23.729,311.34462037112996,relax
23.73,309.906885746907,relax
23.731,306.98032860943783,relax
23.732,307.829994329354,relax
23.733,304.10504958178814,relax
23.734,305.21258809723616,relax
23.735,304.7336257671177,relax
23.736,300.5492652883182,relax
23.737,301.73135034767574,relax
23.738,303.45700819334206,relax
23.739,304.3032749151661,relax
23.74,309.57224113753495,relax
23.741,309.99742233669684,relax
23.742,313.7990504698093,relax
23.743,309.62513493758087,relax
23.744,311.20110734579407,relax
23.745,310.50037442550746,relax
23.746,311.30468006963883,relax
23.747,306.27726591783596,relax
23.748,308.7117832386431,relax
23.749,301.02967548656295,relax
23.75,302.6725254470298,relax
23.751,300.6794832020343,relax
23.752,297.93885592454507,relax
23.753,301.63130253829866,relax
23.754,301.65529285297526,relax
23.755,305.54428632221186,relax
23.756,306.0670664683294,relax
23.757,309.27225880584894,relax
23.758,312.7965233789888,relax
23.759,310.81034910373506,relax
